15 105
0 1 7
0 2 5
0 3 26
0 4 17
0 5 27
0 6 17
0 7 20
0 8 7
0 9 13
0 10 16
0 11 15
0 12 11
0 13 22
0 14 5
1 0 24
1 2 18
1 3 18
1 4 14
1 5 13
1 6 6
1 7 28
1 8 19
1 9 16
1 10 6
1 11 5
1 12 30
1 13 18
1 14 23
2 0 25
2 1 20
2 3 27
2 4 19
2 5 17
2 6 5
2 7 24
2 8 13
2 9 18
2 10 29
2 11 22
2 12 10
2 13 9
2 14 21
3 0 18
3 1 11
3 2 22
3 4 15
3 5 19
3 6 8
3 7 27
3 8 14
3 9 30
3 10 11
3 11 16
3 12 17
3 13 29
3 14 30
4 0 20
4 1 27
4 2 26
4 3 16
4 5 14
4 6 11
4 7 12
4 8 14
4 9 24
4 10 25
4 11 21
4 12 18
4 13 21
4 14 18
5 0 5
5 1 24
5 2 26
5 3 15
5 4 19
5 6 29
5 7 10
5 8 14
5 9 16
5 10 14
5 11 26
5 12 8
5 13 26
5 14 28
6 0 24
6 1 10
6 2 8
6 3 5
6 4 25
6 5 12
6 7 20
6 8 24
6 9 18
6 10 21
6 11 20
6 12 7
6 13 12
6 14 8
7 0 21
7 1 12
7 2 14
7 3 13
7 4 10
7 5 8
7 6 18
7 8 10
7 9 22
7 10 21
7 11 18
7 12 13
7 13 7
7 14 6
8 0 9
8 1 5
8 2 5
8 3 5
8 4 5
8 5 6
8 6 7
8 7 15
8 9 17
8 10 18
8 11 11
8 12 17
8 13 6
8 14 18
9 0 28
9 1 6
9 2 19
9 3 7
9 4 16
9 5 23
9 6 11
9 7 23
9 8 28
9 10 19
9 11 25
9 12 13
9 13 6
9 14 26
10 0 16
10 1 17
10 2 14
10 3 10
10 4 14
10 5 26
10 6 24
10 7 15
10 8 6
10 9 8
10 11 21
10 12 7
10 13 8
10 14 23
11 0 6
11 1 27
11 2 18
11 3 5
11 4 14
11 5 8
11 6 20
11 7 14
11 8 27
11 9 9
11 10 22
11 12 30
11 13 30
11 14 28
12 0 24
12 1 6
12 2 6
12 3 30
12 4 24
12 5 23
12 6 28
12 7 11
12 8 25
12 9 21
12 10 9
12 11 16
12 13 19
12 14 19
13 0 23
13 1 9
13 2 18
13 3 7
13 4 18
13 5 16
13 6 7
13 7 9
13 8 8
13 9 9
13 10 25
13 11 8
13 12 8
13 14 26
14 0 5
14 1 9
14 2 17
14 3 23
14 4 24
14 5 23
14 6 5
14 7 14
14 8 29
14 9 26
14 10 11
14 11 29
14 12 30
14 13 23
