19 171
0 1 20
0 2 7
0 3 11
0 4 11
0 5 8
0 6 14
0 7 27
0 8 12
0 9 8
0 10 18
0 11 14
0 12 8
0 13 27
0 14 6
0 15 19
0 16 17
0 17 9
0 18 19
1 0 25
1 2 11
1 3 28
1 4 13
1 5 20
1 6 7
1 7 16
1 8 11
1 9 9
1 10 12
1 11 14
1 12 25
1 13 29
1 14 21
1 15 15
1 16 12
1 17 8
1 18 5
2 0 15
2 1 28
2 3 25
2 4 24
2 5 9
2 6 16
2 7 5
2 8 17
2 9 19
2 10 5
2 11 27
2 12 30
2 13 16
2 14 28
2 15 30
2 16 26
2 17 21
2 18 18
3 0 14
3 1 19
3 2 10
3 4 16
3 5 28
3 6 26
3 7 23
3 8 11
3 9 29
3 10 11
3 11 8
3 12 22
3 13 23
3 14 14
3 15 17
3 16 6
3 17 12
3 18 26
4 0 23
4 1 5
4 2 19
4 3 5
4 5 20
4 6 16
4 7 17
4 8 19
4 9 13
4 10 6
4 11 9
4 12 13
4 13 10
4 14 7
4 15 9
4 16 16
4 17 16
4 18 17
5 0 12
5 1 11
5 2 27
5 3 30
5 4 22
5 6 18
5 7 22
5 8 28
5 9 26
5 10 19
5 11 21
5 12 6
5 13 27
5 14 10
5 15 6
5 16 25
5 17 12
5 18 16
6 0 11
6 1 17
6 2 17
6 3 27
6 4 5
6 5 19
6 7 25
6 8 7
6 9 23
6 10 15
6 11 29
6 12 26
6 13 10
6 14 5
6 15 5
6 16 29
6 17 29
6 18 13
7 0 13
7 1 10
7 2 6
7 3 15
7 4 11
7 5 12
7 6 22
7 8 29
7 9 24
7 10 10
7 11 30
7 12 24
7 13 12
7 14 28
7 15 14
7 16 19
7 17 29
7 18 22
8 0 12
8 1 15
8 2 21
8 3 9
8 4 7
8 5 18
8 6 20
8 7 21
8 9 14
8 10 16
8 11 10
8 12 19
8 13 24
8 14 12
8 15 21
8 16 24
8 17 5
8 18 7
9 0 7
9 1 5
9 2 5
9 3 17
9 4 23
9 5 26
9 6 13
9 7 24
9 8 29
9 10 17
9 11 24
9 12 17
9 13 22
9 14 19
9 15 19
9 16 6
9 17 28
9 18 9
10 0 5
10 1 13
10 2 29
10 3 27
10 4 26
10 5 29
10 6 29
10 7 5
10 8 12
10 9 9
10 11 24
10 12 10
10 13 18
10 14 5
10 15 20
10 16 5
10 17 16
10 18 20
11 0 27
11 1 13
11 2 9
11 3 19
11 4 7
11 5 30
11 6 25
11 7 16
11 8 10
11 9 22
11 10 10
11 12 15
11 13 8
11 14 10
11 15 23
11 16 13
11 17 5
11 18 13
12 0 30
12 1 21
12 2 18
12 3 19
12 4 8
12 5 20
12 6 20
12 7 29
12 8 13
12 9 8
12 10 7
12 11 22
12 13 15
12 14 22
12 15 16
12 16 27
12 17 30
12 18 13
13 0 24
13 1 12
13 2 23
13 3 27
13 4 27
13 5 12
13 6 14
13 7 22
13 8 22
13 9 26
13 10 23
13 11 17
13 12 20
13 14 25
13 15 26
13 16 26
13 17 19
13 18 23
14 0 26
14 1 7
14 2 20
14 3 26
14 4 20
14 5 6
14 6 23
14 7 23
14 8 20
14 9 23
14 10 11
14 11 23
14 12 12
14 13 29
14 15 30
14 16 18
14 17 7
14 18 28
15 0 22
15 1 15
15 2 27
15 3 5
15 4 5
15 5 16
15 6 15
15 7 28
15 8 27
15 9 29
15 10 27
15 11 29
15 12 20
15 13 14
15 14 23
15 16 12
15 17 5
15 18 9
16 0 12
16 1 6
16 2 28
16 3 7
16 4 20
16 5 13
16 6 26
16 7 24
16 8 9
16 9 10
16 10 18
16 11 5
16 12 30
16 13 23
16 14 5
16 15 14
16 17 25
16 18 24
17 0 8
17 1 26
17 2 14
17 3 8
17 4 15
17 5 8
17 6 22
17 7 11
17 8 14
17 9 12
17 10 17
17 11 23
17 12 16
17 13 15
17 14 20
17 15 18
17 16 13
17 18 16
18 0 5
18 1 8
18 2 17
18 3 20
18 4 27
18 5 12
18 6 19
18 7 19
18 8 13
18 9 8
18 10 15
18 11 29
18 12 6
18 13 30
18 14 10
18 15 17
18 16 21
18 17 23
