20 190
0 1 28
0 2 8
0 3 5
0 4 22
0 5 5
0 6 15
0 7 16
0 8 26
0 9 29
0 10 5
0 11 19
0 12 18
0 13 30
0 14 17
0 15 15
0 16 5
0 17 6
0 18 8
0 19 22
1 0 23
1 2 12
1 3 26
1 4 5
1 5 23
1 6 19
1 7 23
1 8 20
1 9 12
1 10 21
1 11 26
1 12 30
1 13 7
1 14 8
1 15 13
1 16 22
1 17 12
1 18 20
1 19 5
2 0 18
2 1 8
2 3 27
2 4 22
2 5 26
2 6 15
2 7 27
2 8 27
2 9 28
2 10 26
2 11 8
2 12 12
2 13 29
2 14 22
2 15 25
2 16 18
2 17 22
2 18 23
2 19 16
3 0 21
3 1 9
3 2 25
3 4 11
3 5 27
3 6 10
3 7 24
3 8 12
3 9 17
3 10 23
3 11 14
3 12 29
3 13 16
3 14 10
3 15 22
3 16 6
3 17 21
3 18 16
3 19 13
4 0 8
4 1 19
4 2 6
4 3 28
4 5 5
4 6 18
4 7 26
4 8 14
4 9 28
4 10 15
4 11 14
4 12 6
4 13 29
4 14 30
4 15 28
4 16 6
4 17 27
4 18 22
4 19 5
5 0 22
5 1 30
5 2 25
5 3 6
5 4 24
5 6 16
5 7 8
5 8 19
5 9 20
5 10 14
5 11 20
5 12 23
5 13 10
5 14 5
5 15 5
5 16 12
5 17 7
5 18 26
5 19 27
6 0 5
6 1 22
6 2 13
6 3 29
6 4 19
6 5 17
6 7 5
6 8 25
6 9 12
6 10 23
6 11 27
6 12 18
6 13 9
6 14 29
6 15 27
6 16 21
6 17 17
6 18 27
6 19 15
7 0 27
7 1 7
7 2 23
7 3 16
7 4 23
7 5 29
7 6 19
7 8 21
7 9 7
7 10 25
7 11 22
7 12 27
7 13 12
7 14 21
7 15 22
7 16 11
7 17 22
7 18 13
7 19 11
8 0 27
8 1 29
8 2 16
8 3 13
8 4 10
8 5 26
8 6 7
8 7 27
8 9 27
8 10 8
8 11 17
8 12 23
8 13 16
8 14 17
8 15 8
8 16 11
8 17 22
8 18 9
8 19 23
9 0 22
9 1 22
9 2 16
9 3 24
9 4 26
9 5 7
9 6 14
9 7 20
9 8 12
9 10 7
9 11 5
9 12 14
9 13 22
9 14 13
9 15 12
9 16 25
9 17 26
9 18 12
9 19 9
10 0 16
10 1 15
10 2 29
10 3 23
10 4 28
10 5 19
10 6 15
10 7 24
10 8 29
10 9 24
10 11 21
10 12 19
10 13 11
10 14 20
10 15 12
10 16 5
10 17 8
10 18 14
10 19 25
11 0 27
11 1 28
11 2 10
11 3 10
11 4 9
11 5 5
11 6 5
11 7 25
11 8 19
11 9 10
11 10 27
11 12 16
11 13 29
11 14 23
11 15 17
11 16 9
11 17 8
11 18 24
11 19 29
12 0 21
12 1 12
12 2 14
12 3 9
12 4 27
12 5 20
12 6 24
12 7 25
12 8 21
12 9 12
12 10 14
12 11 15
12 13 6
12 14 15
12 15 17
12 16 11
12 17 7
12 18 8
12 19 22
13 0 6
13 1 16
13 2 9
13 3 11
13 4 11
13 5 30
13 6 7
13 7 24
13 8 16
13 9 14
13 10 17
13 11 21
13 12 23
13 14 16
13 15 18
13 16 21
13 17 21
13 18 23
13 19 27
14 0 28
14 1 28
14 2 9
14 3 24
14 4 15
14 5 30
14 6 19
14 7 17
14 8 14
14 9 13
14 10 12
14 11 20
14 12 11
14 13 9
14 15 7
14 16 23
14 17 17
14 18 5
14 19 15
15 0 28
15 1 6
15 2 27
15 3 20
15 4 6
15 5 26
15 6 5
15 7 5
15 8 24
15 9 9
15 10 6
15 11 14
15 12 23
15 13 19
15 14 5
15 16 9
15 17 14
15 18 12
15 19 17
16 0 12
16 1 24
16 2 27
16 3 22
16 4 17
16 5 16
16 6 21
16 7 28
16 8 19
16 9 22
16 10 9
16 11 17
16 12 21
16 13 8
16 14 29
16 15 16
16 17 26
16 18 30
16 19 16
17 0 28
17 1 20
17 2 7
17 3 25
17 4 29
17 5 5
17 6 23
17 7 15
17 8 27
17 9 5
17 10 13
17 11 6
17 12 30
17 13 29
17 14 28
17 15 8
17 16 27
17 18 17
17 19 21
18 0 14
18 1 10
18 2 21
18 3 29
18 4 10
18 5 7
18 6 28
18 7 15
18 8 27
18 9 30
18 10 26
18 11 29
18 12 14
18 13 23
18 14 14
18 15 10
18 16 18
18 17 27
18 19 9
19 0 26
19 1 15
19 2 26
19 3 16
19 4 20
19 5 18
19 6 17
19 7 22
19 8 6
19 9 8
19 10 12
19 11 26
19 12 28
19 13 28
19 14 28
19 15 30
19 16 18
19 17 21
19 18 16
