16 120
0 1 21
0 2 21
0 3 19
0 4 30
0 5 25
0 6 13
0 7 24
0 8 24
0 9 23
0 10 19
0 11 11
0 12 22
0 13 27
0 14 24
0 15 15
1 0 28
1 2 21
1 3 13
1 4 23
1 5 26
1 6 25
1 7 24
1 8 17
1 9 26
1 10 7
1 11 7
1 12 8
1 13 9
1 14 13
1 15 13
2 0 12
2 1 23
2 3 17
2 4 16
2 5 25
2 6 20
2 7 12
2 8 16
2 9 22
2 10 7
2 11 10
2 12 10
2 13 18
2 14 20
2 15 28
3 0 25
3 1 8
3 2 29
3 4 9
3 5 28
3 6 17
3 7 17
3 8 9
3 9 30
3 10 30
3 11 13
3 12 23
3 13 15
3 14 17
3 15 10
4 0 16
4 1 17
4 2 7
4 3 17
4 5 27
4 6 25
4 7 30
4 8 21
4 9 26
4 10 15
4 11 12
4 12 17
4 13 9
4 14 20
4 15 14
5 0 18
5 1 24
5 2 7
5 3 13
5 4 19
5 6 14
5 7 23
5 8 19
5 9 21
5 10 9
5 11 11
5 12 5
5 13 25
5 14 16
5 15 28
6 0 18
6 1 13
6 2 25
6 3 13
6 4 8
6 5 7
6 7 25
6 8 20
6 9 24
6 10 14
6 11 19
6 12 5
6 13 28
6 14 11
6 15 11
7 0 7
7 1 17
7 2 16
7 3 8
7 4 28
7 5 19
7 6 20
7 8 5
7 9 24
7 10 19
7 11 13
7 12 16
7 13 26
7 14 28
7 15 23
8 0 8
8 1 15
8 2 26
8 3 22
8 4 28
8 5 20
8 6 18
8 7 30
8 9 13
8 10 28
8 11 26
8 12 11
8 13 5
8 14 9
8 15 30
9 0 19
9 1 24
9 2 24
9 3 13
9 4 14
9 5 13
9 6 14
9 7 6
9 8 30
9 10 14
9 11 27
9 12 25
9 13 8
9 14 8
9 15 22
10 0 29
10 1 11
10 2 27
10 3 27
10 4 8
10 5 6
10 6 28
10 7 12
10 8 10
10 9 26
10 11 26
10 12 23
10 13 14
10 14 12
10 15 16
11 0 26
11 1 13
11 2 11
11 3 25
11 4 9
11 5 15
11 6 18
11 7 26
11 8 14
11 9 17
11 10 13
11 12 17
11 13 26
11 14 16
11 15 24
12 0 10
12 1 11
12 2 8
12 3 11
12 4 12
12 5 17
12 6 17
12 7 14
12 8 20
12 9 10
12 10 30
12 11 20
12 13 27
12 14 6
12 15 14
13 0 6
13 1 15
13 2 10
13 3 19
13 4 7
13 5 17
13 6 15
13 7 23
13 8 20
13 9 8
13 10 9
13 11 11
13 12 10
13 14 14
13 15 11
14 0 23
14 1 23
14 2 29
14 3 10
14 4 30
14 5 23
14 6 7
14 7 18
14 8 14
14 9 26
14 10 12
14 11 14
14 12 27
14 13 9
14 15 18
15 0 13
15 1 28
15 2 8
15 3 25
15 4 28
15 5 22
15 6 15
15 7 7
15 8 24
15 9 30
15 10 20
15 11 5
15 12 11
15 13 7
15 14 25
