11 55
0 1 28
0 2 10
0 3 15
0 4 15
0 5 18
0 6 16
0 7 15
0 8 28
0 9 24
0 10 11
1 0 24
1 2 21
1 3 9
1 4 14
1 5 11
1 6 24
1 7 24
1 8 10
1 9 18
1 10 11
2 0 29
2 1 22
2 3 6
2 4 7
2 5 5
2 6 20
2 7 13
2 8 8
2 9 13
2 10 20
3 0 14
3 1 25
3 2 22
3 4 9
3 5 21
3 6 22
3 7 9
3 8 16
3 9 5
3 10 12
4 0 26
4 1 10
4 2 6
4 3 9
4 5 14
4 6 27
4 7 13
4 8 9
4 9 24
4 10 16
5 0 27
5 1 7
5 2 8
5 3 8
5 4 14
5 6 26
5 7 13
5 8 27
5 9 28
5 10 30
6 0 9
6 1 24
6 2 20
6 3 29
6 4 13
6 5 18
6 7 12
6 8 16
6 9 29
6 10 12
7 0 25
7 1 16
7 2 28
7 3 28
7 4 9
7 5 28
7 6 15
7 8 8
7 9 10
7 10 22
8 0 16
8 1 23
8 2 22
8 3 5
8 4 23
8 5 25
8 6 24
8 7 29
8 9 24
8 10 15
9 0 8
9 1 7
9 2 5
9 3 8
9 4 7
9 5 29
9 6 22
9 7 10
9 8 6
9 10 11
10 0 7
10 1 13
10 2 23
10 3 17
10 4 18
10 5 8
10 6 18
10 7 11
10 8 6
10 9 30
