17 136
0 1 22
0 2 19
0 3 9
0 4 15
0 5 14
0 6 16
0 7 6
0 8 5
0 9 14
0 10 16
0 11 30
0 12 11
0 13 19
0 14 7
0 15 28
0 16 18
1 0 16
1 2 12
1 3 5
1 4 9
1 5 29
1 6 19
1 7 7
1 8 19
1 9 28
1 10 5
1 11 23
1 12 25
1 13 17
1 14 25
1 15 16
1 16 24
2 0 24
2 1 7
2 3 24
2 4 21
2 5 27
2 6 17
2 7 15
2 8 21
2 9 27
2 10 5
2 11 22
2 12 21
2 13 27
2 14 18
2 15 9
2 16 23
3 0 11
3 1 23
3 2 14
3 4 22
3 5 22
3 6 29
3 7 14
3 8 11
3 9 22
3 10 20
3 11 9
3 12 27
3 13 23
3 14 27
3 15 15
3 16 18
4 0 12
4 1 5
4 2 14
4 3 18
4 5 11
4 6 15
4 7 11
4 8 23
4 9 10
4 10 19
4 11 12
4 12 17
4 13 20
4 14 29
4 15 16
4 16 28
5 0 20
5 1 23
5 2 28
5 3 6
5 4 7
5 6 28
5 7 16
5 8 22
5 9 20
5 10 18
5 11 19
5 12 27
5 13 5
5 14 5
5 15 25
5 16 27
6 0 13
6 1 25
6 2 16
6 3 24
6 4 22
6 5 28
6 7 20
6 8 24
6 9 15
6 10 23
6 11 23
6 12 21
6 13 25
6 14 23
6 15 29
6 16 13
7 0 11
7 1 7
7 2 20
7 3 8
7 4 19
7 5 11
7 6 7
7 8 22
7 9 21
7 10 28
7 11 10
7 12 16
7 13 23
7 14 26
7 15 21
7 16 18
8 0 14
8 1 29
8 2 22
8 3 27
8 4 5
8 5 11
8 6 13
8 7 12
8 9 12
8 10 9
8 11 5
8 12 9
8 13 21
8 14 16
8 15 28
8 16 26
9 0 7
9 1 17
9 2 21
9 3 6
9 4 7
9 5 29
9 6 26
9 7 6
9 8 12
9 10 17
9 11 30
9 12 25
9 13 6
9 14 15
9 15 29
9 16 13
10 0 27
10 1 23
10 2 13
10 3 30
10 4 16
10 5 9
10 6 6
10 7 16
10 8 14
10 9 9
10 11 17
10 12 19
10 13 27
10 14 20
10 15 16
10 16 19
11 0 24
11 1 28
11 2 7
11 3 24
11 4 25
11 5 14
11 6 18
11 7 9
11 8 24
11 9 10
11 10 21
11 12 9
11 13 7
11 14 18
11 15 12
11 16 6
12 0 9
12 1 9
12 2 20
12 3 13
12 4 19
12 5 18
12 6 21
12 7 8
12 8 15
12 9 11
12 10 21
12 11 26
12 13 15
12 14 25
12 15 30
12 16 12
13 0 6
13 1 12
13 2 28
13 3 29
13 4 6
13 5 28
13 6 20
13 7 27
13 8 14
13 9 21
13 10 7
13 11 15
13 12 10
13 14 10
13 15 28
13 16 22
14 0 20
14 1 29
14 2 16
14 3 27
14 4 24
14 5 17
14 6 10
14 7 20
14 8 9
14 9 10
14 10 13
14 11 28
14 12 30
14 13 20
14 15 10
14 16 11
15 0 14
15 1 12
15 2 14
15 3 25
15 4 9
15 5 19
15 6 16
15 7 18
15 8 24
15 9 12
15 10 6
15 11 18
15 12 22
15 13 19
15 14 18
15 16 15
16 0 24
16 1 7
16 2 15
16 3 10
16 4 13
16 5 9
16 6 18
16 7 14
16 8 28
16 9 7
16 10 26
16 11 6
16 12 15
16 13 27
16 14 10
16 15 10
