14 91
0 1 28
0 2 26
0 3 18
0 4 24
0 5 27
0 6 28
0 7 12
0 8 25
0 9 22
0 10 8
0 11 5
0 12 6
0 13 17
1 0 13
1 2 19
1 3 30
1 4 5
1 5 11
1 6 14
1 7 6
1 8 27
1 9 17
1 10 17
1 11 23
1 12 8
1 13 22
2 0 28
2 1 16
2 3 12
2 4 6
2 5 16
2 6 27
2 7 5
2 8 12
2 9 6
2 10 14
2 11 23
2 12 22
2 13 25
3 0 24
3 1 7
3 2 26
3 4 5
3 5 5
3 6 28
3 7 25
3 8 8
3 9 17
3 10 19
3 11 22
3 12 12
3 13 19
4 0 18
4 1 17
4 2 16
4 3 12
4 5 18
4 6 22
4 7 5
4 8 20
4 9 5
4 10 12
4 11 23
4 12 15
4 13 20
5 0 13
5 1 20
5 2 29
5 3 19
5 4 8
5 6 12
5 7 22
5 8 28
5 9 6
5 10 29
5 11 14
5 12 11
5 13 6
6 0 14
6 1 5
6 2 12
6 3 28
6 4 13
6 5 29
6 7 18
6 8 26
6 9 17
6 10 20
6 11 6
6 12 12
6 13 19
7 0 20
7 1 28
7 2 5
7 3 13
7 4 19
7 5 23
7 6 23
7 8 17
7 9 9
7 10 17
7 11 7
7 12 7
7 13 11
8 0 22
8 1 10
8 2 24
8 3 7
8 4 23
8 5 24
8 6 21
8 7 13
8 9 21
8 10 22
8 11 11
8 12 23
8 13 6
9 0 7
9 1 25
9 2 22
9 3 6
9 4 25
9 5 10
9 6 9
9 7 14
9 8 30
9 10 18
9 11 18
9 12 29
9 13 19
10 0 25
10 1 20
10 2 29
10 3 24
10 4 20
10 5 13
10 6 27
10 7 21
10 8 5
10 9 26
10 11 12
10 12 10
10 13 5
11 0 27
11 1 24
11 2 12
11 3 11
11 4 21
11 5 27
11 6 26
11 7 23
11 8 30
11 9 16
11 10 12
11 12 16
11 13 22
12 0 13
12 1 24
12 2 28
12 3 28
12 4 28
12 5 25
12 6 25
12 7 16
12 8 19
12 9 9
12 10 16
12 11 7
12 13 26
13 0 12
13 1 6
13 2 19
13 3 22
13 4 10
13 5 23
13 6 15
13 7 11
13 8 19
13 9 14
13 10 30
13 11 30
13 12 10
