13 78
0 1 28
0 2 12
0 3 9
0 4 10
0 5 22
0 6 9
0 7 18
0 8 14
0 9 23
0 10 7
0 11 10
0 12 27
1 0 28
1 2 15
1 3 6
1 4 9
1 5 6
1 6 15
1 7 9
1 8 18
1 9 16
1 10 18
1 11 22
1 12 10
2 0 12
2 1 6
2 3 24
2 4 26
2 5 11
2 6 16
2 7 13
2 8 30
2 9 5
2 10 9
2 11 21
2 12 28
3 0 6
3 1 21
3 2 20
3 4 28
3 5 29
3 6 6
3 7 18
3 8 26
3 9 23
3 10 14
3 11 17
3 12 13
4 0 9
4 1 18
4 2 18
4 3 28
4 5 30
4 6 5
4 7 16
4 8 7
4 9 29
4 10 20
4 11 8
4 12 27
5 0 9
5 1 16
5 2 21
5 3 16
5 4 21
5 6 17
5 7 10
5 8 8
5 9 7
5 10 13
5 11 23
5 12 8
6 0 25
6 1 7
6 2 23
6 3 8
6 4 23
6 5 21
6 7 21
6 8 29
6 9 15
6 10 15
6 11 14
6 12 28
7 0 23
7 1 5
7 2 28
7 3 11
7 4 15
7 5 9
7 6 29
7 8 23
7 9 22
7 10 13
7 11 25
7 12 23
8 0 23
8 1 21
8 2 18
8 3 25
8 4 7
8 5 25
8 6 12
8 7 22
8 9 21
8 10 26
8 11 29
8 12 12
9 0 19
9 1 19
9 2 18
9 3 8
9 4 18
9 5 24
9 6 13
9 7 21
9 8 25
9 10 13
9 11 20
9 12 27
10 0 26
10 1 9
10 2 18
10 3 25
10 4 9
10 5 5
10 6 6
10 7 7
10 8 9
10 9 16
10 11 17
10 12 6
11 0 19
11 1 15
11 2 19
11 3 7
11 4 26
11 5 5
11 6 20
11 7 20
11 8 13
11 9 6
11 10 14
11 12 30
12 0 22
12 1 25
12 2 11
12 3 26
12 4 17
12 5 29
12 6 22
12 7 30
12 8 15
12 9 21
12 10 18
12 11 15
