18 153
0 1 17
0 2 13
0 3 18
0 4 13
0 5 15
0 6 16
0 7 15
0 8 14
0 9 20
0 10 13
0 11 14
0 12 28
0 13 9
0 14 29
0 15 8
0 16 22
0 17 20
1 0 19
1 2 7
1 3 28
1 4 19
1 5 5
1 6 29
1 7 14
1 8 9
1 9 11
1 10 24
1 11 12
1 12 21
1 13 6
1 14 29
1 15 25
1 16 9
1 17 6
2 0 6
2 1 15
2 3 18
2 4 21
2 5 18
2 6 9
2 7 25
2 8 21
2 9 10
2 10 27
2 11 10
2 12 20
2 13 17
2 14 22
2 15 25
2 16 9
2 17 25
3 0 18
3 1 24
3 2 28
3 4 21
3 5 5
3 6 14
3 7 8
3 8 28
3 9 26
3 10 18
3 11 11
3 12 15
3 13 15
3 14 10
3 15 7
3 16 27
3 17 12
4 0 9
4 1 18
4 2 29
4 3 29
4 5 22
4 6 24
4 7 8
4 8 14
4 9 19
4 10 22
4 11 13
4 12 5
4 13 6
4 14 23
4 15 19
4 16 21
4 17 30
5 0 22
5 1 10
5 2 14
5 3 19
5 4 11
5 6 25
5 7 26
5 8 8
5 9 14
5 10 29
5 11 12
5 12 26
5 13 11
5 14 10
5 15 9
5 16 15
5 17 11
6 0 24
6 1 16
6 2 5
6 3 9
6 4 23
6 5 20
6 7 30
6 8 26
6 9 26
6 10 20
6 11 22
6 12 23
6 13 11
6 14 6
6 15 24
6 16 13
6 17 10
7 0 23
7 1 18
7 2 12
7 3 29
7 4 8
7 5 14
7 6 16
7 8 16
7 9 10
7 10 9
7 11 15
7 12 8
7 13 29
7 14 23
7 15 17
7 16 9
7 17 6
8 0 5
8 1 14
8 2 17
8 3 21
8 4 19
8 5 29
8 6 21
8 7 30
8 9 29
8 10 27
8 11 21
8 12 21
8 13 11
8 14 24
8 15 24
8 16 18
8 17 29
9 0 30
9 1 29
9 2 16
9 3 28
9 4 26
9 5 24
9 6 12
9 7 30
9 8 24
9 10 8
9 11 7
9 12 21
9 13 21
9 14 13
9 15 25
9 16 30
9 17 22
10 0 15
10 1 27
10 2 20
10 3 11
10 4 21
10 5 9
10 6 28
10 7 5
10 8 10
10 9 11
10 11 22
10 12 18
10 13 18
10 14 9
10 15 15
10 16 18
10 17 29
11 0 17
11 1 24
11 2 8
11 3 17
11 4 22
11 5 12
11 6 8
11 7 21
11 8 16
11 9 8
11 10 14
11 12 24
11 13 25
11 14 11
11 15 27
11 16 16
11 17 18
12 0 6
12 1 7
12 2 27
12 3 15
12 4 13
12 5 19
12 6 22
12 7 17
12 8 13
12 9 9
12 10 30
12 11 7
12 13 13
12 14 26
12 15 25
12 16 19
12 17 20
13 0 24
13 1 17
13 2 30
13 3 13
13 4 8
13 5 17
13 6 18
13 7 12
13 8 20
13 9 27
13 10 22
13 11 21
13 12 17
13 14 11
13 15 15
13 16 7
13 17 17
14 0 30
14 1 26
14 2 28
14 3 6
14 4 18
14 5 26
14 6 25
14 7 19
14 8 11
14 9 7
14 10 13
14 11 9
14 12 20
14 13 14
14 15 20
14 16 17
14 17 26
15 0 17
15 1 17
15 2 9
15 3 23
15 4 12
15 5 22
15 6 11
15 7 26
15 8 17
15 9 27
15 10 6
15 11 21
15 12 30
15 13 25
15 14 21
15 16 23
15 17 21
16 0 22
16 1 15
16 2 24
16 3 5
16 4 18
16 5 20
16 6 30
16 7 11
16 8 24
16 9 13
16 10 16
16 11 18
16 12 26
16 13 13
16 14 5
16 15 16
16 17 8
17 0 15
17 1 9
17 2 16
17 3 12
17 4 23
17 5 29
17 6 29
17 7 25
17 8 23
17 9 16
17 10 27
17 11 17
17 12 18
17 13 19
17 14 20
17 15 28
17 16 30
