10 45
0 1 12
0 2 20
0 3 25
0 4 30
0 5 8
0 6 24
0 7 14
0 8 5
0 9 6
1 0 9
1 2 29
1 3 9
1 4 11
1 5 23
1 6 22
1 7 13
1 8 13
1 9 15
2 0 22
2 1 25
2 3 29
2 4 21
2 5 10
2 6 26
2 7 20
2 8 27
2 9 6
3 0 30
3 1 18
3 2 12
3 4 15
3 5 26
3 6 20
3 7 15
3 8 10
3 9 29
4 0 30
4 1 22
4 2 23
4 3 29
4 5 19
4 6 23
4 7 28
4 8 8
4 9 24
5 0 7
5 1 17
5 2 13
5 3 13
5 4 25
5 6 23
5 7 16
5 8 14
5 9 12
6 0 25
6 1 22
6 2 17
6 3 16
6 4 9
6 5 8
6 7 30
6 8 25
6 9 5
7 0 19
7 1 29
7 2 13
7 3 8
7 4 10
7 5 23
7 6 21
7 8 18
7 9 8
8 0 11
8 1 13
8 2 17
8 3 29
8 4 7
8 5 12
8 6 17
8 7 8
8 9 28
9 0 21
9 1 29
9 2 16
9 3 22
9 4 6
9 5 25
9 6 9
9 7 17
9 8 8
